source,target,weight
Krzycka / Aleja Karkonoska (Park Południowy),Lotnicza / Na Ostatnim Groszu,5
Krzycka / Aleja Karkonoska (Park Południowy),Malicka / Stodolna,1
Krzycka / Aleja Karkonoska (Park Południowy),Mińska / stanisławowska,1
Krzycka / Aleja Karkonoska (Park Południowy),Mocickiego (stacja kolejowa),2
Krzycka / Aleja Karkonoska (Park Południowy),Na Ostatnim Groszu,2
Krzycka / Aleja Karkonoska (Park Południowy),Norwida / Wyspiańskiego (PWr),1
Krzycka / Aleja Karkonoska (Park Południowy),Nowowiejska / Wyszyńskiego,1
Krzycka / Aleja Karkonoska (Park Południowy),Nyska / Jesionowa,25
Krzycka / Aleja Karkonoska (Park Południowy),Nyska / Piękna,9
Krzycka / Aleja Karkonoska (Park Południowy),Olszewskiego / Spółdzielcza,3
Krzycka / Aleja Karkonoska (Park Południowy),Opolska / Siemianowicka,9
Krzycka / Aleja Karkonoska (Park Południowy),Opolska / pętla tramwajowa,1
Krzycka / Aleja Karkonoska (Park Południowy),Oporów (pętla tramwajowa),10
Krzycka / Aleja Karkonoska (Park Południowy),Pereca / Grabiszyńska,9
Krzycka / Aleja Karkonoska (Park Południowy),Piaskowa / w. Ducha,7
Krzycka / Aleja Karkonoska (Park Południowy),Piłsudskiego 13 od Jump Hall,1
Krzycka / Aleja Karkonoska (Park Południowy),Plac Dominikański (Galeria Dominikańska),8
Krzycka / Aleja Karkonoska (Park Południowy),Plac Grunwaldzki (DS Ołówek),1
Krzycka / Aleja Karkonoska (Park Południowy),Plac Jana Pawła II (Akademia Muzyczna),5
Krzycka / Aleja Karkonoska (Park Południowy),Plac Kociuszki (Renoma),27
Krzycka / Aleja Karkonoska (Park Południowy),Plac Legionów,3
Krzycka / Aleja Karkonoska (Park Południowy),Plac Powstańców Warszawy (Muzeum Narodowe),2
Krzycka / Aleja Karkonoska (Park Południowy),Plac Powstańców lšskich,105
Krzycka / Aleja Karkonoska (Park Południowy),Plac Strzegomski / Poznańska,1
Krzycka / Aleja Karkonoska (Park Południowy),Plac Uniwersytecki (UWr),2
Krzycka / Aleja Karkonoska (Park Południowy),Powstańcow lšskich / Aleja Hallera,193
Krzycka / Aleja Karkonoska (Park Południowy),Powstańców lšskich (Arkady Wrocławskie),109
Krzycka / Aleja Karkonoska (Park Południowy),Powstańców lšskich/Orla,2
Krzycka / Aleja Karkonoska (Park Południowy),Przyjani,277
Krzycka / Aleja Karkonoska (Park Południowy),Przyjani / Karkonoska,258
Krzycka / Aleja Karkonoska (Park Południowy),Racławicka / Rymarska,138
Krzycka / Aleja Karkonoska (Park Południowy),Reymonta / Kleczkowska,2
Krzycka / Aleja Karkonoska (Park Południowy),Robotnicza / Fabryczna,2
Krzycka / Aleja Karkonoska (Park Południowy),Rondo Reagana,5
Krzycka / Aleja Karkonoska (Park Południowy),Rynek,34
Krzycka / Aleja Karkonoska (Park Południowy),Sienkiewicza / Wyszyńskiego,1
Krzycka / Aleja Karkonoska (Park Południowy),Skarbowców / Wietrzna,572
Krzycka / Aleja Karkonoska (Park Południowy),Solskiego / al. Piastów,18
Krzycka / Aleja Karkonoska (Park Południowy),Strachowskiego / Parafialna,29
Krzycka / Aleja Karkonoska (Park Południowy),Strzegomska / Estońska,3
Krzycka / Aleja Karkonoska (Park Południowy),Szczęliwa (Sky Tower),137
Krzycka / Aleja Karkonoska (Park Południowy),Szewska / Kazimierza Wielkiego ,24
Krzycka / Aleja Karkonoska (Park Południowy),Tarnogajska / Klimasa,1
Krzycka / Aleja Karkonoska (Park Południowy),Traktatowa (przystanek kolejowy),1
Krzycka / Aleja Karkonoska (Park Południowy),Traugutta / Kociuszki,2
Krzycka / Aleja Karkonoska (Park Południowy),Traugutta / Pułaskiego,3
Krzycka / Aleja Karkonoska (Park Południowy),Trymanda / Mińska,3
Krzycka / Aleja Karkonoska (Park Południowy),Wałbrzyska - pętla tramwajowa,186
Krzycka / Aleja Karkonoska (Park Południowy),Wita Stwosza / Szewska,6
Krzycka / Aleja Karkonoska (Park Południowy),Wróblewskiego (Teki),2
Krzycka / Aleja Karkonoska (Park Południowy),Wyszyńskiego / Szczytnicka,1
Krzycka / Aleja Karkonoska (Park Południowy),Zachodnia / Poznańska,1
Krzycka / Aleja Karkonoska (Park Południowy),Zaporoska / Gajowicka,21
Krzycka / Aleja Karkonoska (Park Południowy),Zaporoska / Grabiszyńska,15
Krzycka / Aleja Karkonoska (Park Południowy),Zaporoska / Wielka / Krucza,11
Krzycka / Aleja Karkonoska (Park Południowy),Zwycięska / Agrestowa,60
Krzycka / Aleja Karkonoska (Park Południowy),Zwycięska / Ołtaszyńska,200
Krzycka / Aleja Karkonoska (Park Południowy),al. Armii Krajowej / Bardzka,9
Krzycka / Aleja Karkonoska (Park Południowy),al. Armii Krajowej / Borowska,56
Krzycka / Aleja Karkonoska (Park Południowy),al. Armii Krajowej / Tarnogajska,3
Krzycka / Aleja Karkonoska (Park Południowy),al. Karkonoska / Jedziecka,106
Krzycka / Aleja Karkonoska (Park Południowy),pl. Orlšt Lwowskich,5
Krzycka / Aleja Karkonoska (Park Południowy),pl. Powstańców Wielkopolskich,1
Krzycka / Aleja Karkonoska (Park Południowy),lężna / Aleja Winiowa,33
Krzycka / Aleja Karkonoska (Park Południowy),lężna / Kamienna (Uniw. Ekonomiczny),24
Krzycka / Aleja Karkonoska (Park Południowy),lężna / Skierniewicka,88
Krzycka / Aleja Karkonoska (Park Południowy),lężna / pętla tramwajowa,38
Krzycka / Aleja Karkonoska (Park Południowy),widnicka / Piłsudskiego (Hotel Scandic),35
Krzycka / Aleja Karkonoska (Park Południowy),wieradowska (Ferio Gaj ),24
Krzycka / Aleja Karkonoska (Park Południowy),wieradowska / Krynicka,6
Krzycka / Aleja Karkonoska (Park Południowy),Żelazna / Pereca,6
Krzycka / Aleja Karkonoska (Park Południowy),Żernicka,1
Krzywoustego - Rynek Psie Pole,3M,4
Krzywoustego - Rynek Psie Pole,Aleja Kromera,82
Krzywoustego - Rynek Psie Pole,Bacciarellego / pętla autobusowa,3
Krzywoustego - Rynek Psie Pole,Bałtycka / Żmigrodzka,3
Krzywoustego - Rynek Psie Pole,Berenta / Kasprowicza,2
Krzywoustego - Rynek Psie Pole,Borowska (Uniw. Szpital Kliniczny),1
Krzywoustego - Rynek Psie Pole,Drobnera / Plac Bema,1
Krzywoustego - Rynek Psie Pole,Dworzec Główny,2
Krzywoustego - Rynek Psie Pole,Dworzec Główny południe,1
Krzywoustego - Rynek Psie Pole,Dyrekcyjna / Borowska (Wroclavia),1
Krzywoustego - Rynek Psie Pole,Fosa Miejska ,2
Krzywoustego - Rynek Psie Pole,Gorlicka / Litewska,391
Krzywoustego - Rynek Psie Pole,Gorlicka/Stanety,3
Krzywoustego - Rynek Psie Pole,Grabiszyńska / Aleja Hallera,1
Krzywoustego - Rynek Psie Pole,Grabiszyńska / Stalowa,1
Krzywoustego - Rynek Psie Pole,Grochowa / Jemiołowa,3
Krzywoustego - Rynek Psie Pole,Grota-Roweckiego / Parafialna,1
Krzywoustego - Rynek Psie Pole,Janiszewskiego (PWr),1
Krzywoustego - Rynek Psie Pole,Jednoci Narodowej / Wyszyńskiego,8
Krzywoustego - Rynek Psie Pole,Kamieńskiego / Jutrosińska,2
Krzywoustego - Rynek Psie Pole,Kasprowicza / Syrokomli,5
Krzywoustego - Rynek Psie Pole,Kiełczowska,159
Krzywoustego - Rynek Psie Pole,Koszarowa / UWr,13
Krzywoustego - Rynek Psie Pole,Kociuszki / Komuny Paryskiej / Zgodna,1
Krzywoustego - Rynek Psie Pole,Kraszewskiego / Trzebnicka,7
Krzywoustego - Rynek Psie Pole,Krzywoustego - Rynek Psie Pole,565
Krzywoustego - Rynek Psie Pole,Krzywoustego / Korona,83
Krzywoustego - Rynek Psie Pole,Mickiewicza / pętla tramwajowa,2
Krzywoustego - Rynek Psie Pole,Miłoszycka / Swojczycka,1
Krzywoustego - Rynek Psie Pole,Młodych Techników,2
Krzywoustego - Rynek Psie Pole,Nowowiejska / Jednoci Narodowej,2
Krzywoustego - Rynek Psie Pole,Nowowiejska / Wyszyńskiego,2
Krzywoustego - Rynek Psie Pole,Okulickiego,72
Krzywoustego - Rynek Psie Pole,Oporów (pętla tramwajowa),1
Krzywoustego - Rynek Psie Pole,Piaskowa / w. Ducha,4
Krzywoustego - Rynek Psie Pole,Plac Grunwaldzki (DS Ołówek),3
Krzywoustego - Rynek Psie Pole,Plac Grunwaldzki / Polaka,2
Krzywoustego - Rynek Psie Pole,Plac Jana Pawła II (Akademia Muzyczna),1
Krzywoustego - Rynek Psie Pole,Plac Legionów,1
Krzywoustego - Rynek Psie Pole,Poleska / Litewska,168
Krzywoustego - Rynek Psie Pole,Poniatowskiego / Olenicka,4
Krzywoustego - Rynek Psie Pole,Promenady Wrocławskie,3
Krzywoustego - Rynek Psie Pole,Rondo Reagana,11
Krzywoustego - Rynek Psie Pole,Rynek,2
Krzywoustego - Rynek Psie Pole,Sienkiewicza / Piastowska,2
Krzywoustego - Rynek Psie Pole,Sołtysowicka / Redycka,11
Krzywoustego - Rynek Psie Pole,Traugutta / Pułaskiego,2
Krzywoustego - Rynek Psie Pole,Wilanowska,63
Krzywoustego - Rynek Psie Pole,Wita Stwosza / Szewska,1
Krzywoustego - Rynek Psie Pole,Wróblewskiego (ZOO),1
Krzywoustego - Rynek Psie Pole,Wyszyńskiego / Szczytnicka,2
Krzywoustego - Rynek Psie Pole,Zaporoska / Grabiszyńska,1
Krzywoustego - Rynek Psie Pole,Zatorska / Królewska - pętla MPK,109
Krzywoustego - Rynek Psie Pole,al. Brücknera / Kwidzyńska,25
Krzywoustego - Rynek Psie Pole,al. Jana III Sobieskiego / stacja kolejowa,53
Krzywoustego - Rynek Psie Pole,al. Kochanowskiego / Kopernika,10
Krzywoustego - Rynek Psie Pole,al. Kochanowskiego / niadeckich ,5
Krzywoustego - Rynek Psie Pole,al. Poprzeczna / stacja kolejowa,5
Krzywoustego - Rynek Psie Pole,pl. Orlšt Lwowskich,6
Krzywoustego - Rynek Psie Pole,pl. Powstańców Wielkopolskich,2
Krzywoustego - Rynek Psie Pole,Łukasiewicza / Smoluchowskiego (PWr),2
Krzywoustego - Rynek Psie Pole,widnicka / Piłsudskiego (Hotel Scandic),2
Krzywoustego - Rynek Psie Pole,wieradowska (Ferio Gaj ),1
Krzywoustego - Rynek Psie Pole,Żeromskiego / Daszyńskiego,1
Krzywoustego - Rynek Psie Pole,Żmigrodzka / Broniewskiego,2
Krzywoustego - Rynek Psie Pole,Żmigrodzka / Marino,2
Krzywoustego / Korona,Aleja Hallera / Mielecka,3
Krzywoustego / Korona,Aleja Kromera,237
Krzywoustego / Korona,Bacciarellego,2
Krzywoustego / Korona,Bacciarellego / pętla autobusowa,1
Krzywoustego / Korona,Bałtycka / Żmigrodzka,7
Krzywoustego / Korona,Berenta / Kasprowicza,61
Krzywoustego / Korona,Bezpieczna / Obornicka,6
Krzywoustego / Korona,Drobnera / Dubois,1
Krzywoustego / Korona,Drobnera / Plac Bema,16
Krzywoustego / Korona,Dworzec Główny,1
Krzywoustego / Korona,Dworzec Główny południe,2
Krzywoustego / Korona,Fosa Miejska ,2
Krzywoustego / Korona,Gorlicka / Litewska,92
Krzywoustego / Korona,Gorlicka/Stanety,2
Krzywoustego / Korona,Grochowa / Jemiołowa,1
Krzywoustego / Korona,Jagiełły / Dmowskiego,1
Krzywoustego / Korona,Jednoci Narodowej / Wyszyńskiego,95
Krzywoustego / Korona,Kamieńskiego,1
Krzywoustego / Korona,Kamieńskiego / Jutrosińska,21
Krzywoustego / Korona,Kasprowicza / Syrokomli,13
Krzywoustego / Korona,Kazimierza Wielkiego (Helios),3
Krzywoustego / Korona,Kiełczowska,14
Krzywoustego / Korona,Koszarowa / UWr,107
Krzywoustego / Korona,Kowalska/Lechitów,1
Krzywoustego / Korona,Kociuszki / Komuny Paryskiej / Zgodna,3
Krzywoustego / Korona,Kociuszki / Pułaskiego,1
Krzywoustego / Korona,Kraszewskiego / Trzebnicka,5
Krzywoustego / Korona,Krucza / Mielecka / Stalowa,1
Krzywoustego / Korona,Krzywoustego - Rynek Psie Pole,118
Krzywoustego / Korona,Krzywoustego / Korona,377
Krzywoustego / Korona,Kurkowa / Dubois,1
Krzywoustego / Korona,Legnicka (Park Magnolia),1
Krzywoustego / Korona,Legnicka / Młodych Techników,1
Krzywoustego / Korona,Legnicka / Wejherowska,2
Krzywoustego / Korona,Legnicka / Zachodnia ,1
Krzywoustego / Korona,Lotnicza / Na Ostatnim Groszu,2
Krzywoustego / Korona,Marca Polo (Olimpia Port),7
Krzywoustego / Korona,Mickiewicza / pętla tramwajowa,6
Krzywoustego / Korona,Miłoszycka / Swojczycka,3
Krzywoustego / Korona,Mršgowska / Rolna,1
Krzywoustego / Korona,Młodych Techników,2
Krzywoustego / Korona,Nowowiejska / Górnickiego,37
Krzywoustego / Korona,Nowowiejska / Jednoci Narodowej,28
Krzywoustego / Korona,Nowowiejska / Wyszyńskiego,42
Krzywoustego / Korona,Obornicka / Bałtycka,6
Krzywoustego / Korona,Okulickiego,5
Krzywoustego / Korona,Olszewskiego / Spółdzielcza,3
Krzywoustego / Korona,Olszewskiego pętla tramwajowa,4
Krzywoustego / Korona,Paprotna / Obornicka zajezdnia MPK,2
Krzywoustego / Korona,Partyzantów / Okrzei,1
Krzywoustego / Korona,Piaskowa / w. Ducha,3
Krzywoustego / Korona,Plac Dominikański (Galeria Dominikańska),4
Krzywoustego / Korona,Plac Grunwaldzki (DS Ołówek),15
Krzywoustego / Korona,Plac Legionów,4
Krzywoustego / Korona,Plac Staszica,3
Krzywoustego / Korona,Plac Uniwersytecki (UWr),2
Krzywoustego / Korona,Plac więtego Macieja / Trzebnicka,15
Krzywoustego / Korona,Poleska / Litewska,17
Krzywoustego / Korona,Poniatowskiego / Olenicka,27
Krzywoustego / Korona,Popowicka / Niedwiedzia,1
Krzywoustego / Korona,Powstańców lšskich (Arkady Wrocławskie),1
Krzywoustego / Korona,Promenady Wrocławskie,27
Krzywoustego / Korona,Reymonta / Kleczkowska,2
Krzywoustego / Korona,Rogowska / Zemska,1
Krzywoustego / Korona,Rondo Reagana,20
Krzywoustego / Korona,Sienkiewicza / Piastowska,8
Krzywoustego / Korona,Sienkiewicza / Wyszyńskiego,19
Krzywoustego / Korona,Skarbowców / Wietrzna,1
Krzywoustego / Korona,Sołtysowicka / Redycka,114
Krzywoustego / Korona,Stadion Olimpijski,5
Krzywoustego / Korona,Szewska / Kazimierza Wielkiego ,3
Krzywoustego / Korona,Traugutta / Pułaskiego,1
Krzywoustego / Korona,Tyrmanda / Trawowa,1
Krzywoustego / Korona,Wilanowska,5
Krzywoustego / Korona,Wita Stwosza / Szewska,3
Krzywoustego / Korona,Wróblewskiego (ZOO),4
Krzywoustego / Korona,Wyszyńskiego / Szczytnicka,3
Krzywoustego / Korona,Zachodnia / Poznańska,1
Krzywoustego / Korona,Zaporoska / Gajowicka,1
Krzywoustego / Korona,Zatorska / Królewska - pętla MPK,13
Krzywoustego / Korona,al. Armii Krajowej / Bardzka,2
Krzywoustego / Korona,al. Armii Krajowej / Borowska,1
Krzywoustego / Korona,al. Brücknera / Kwidzyńska,54
Krzywoustego / Korona,al. Jana III Sobieskiego / stacja kolejowa,5
Krzywoustego / Korona,al. Kochanowskiego / Kopernika,20
Krzywoustego / Korona,al. Kochanowskiego / niadeckich ,44
Krzywoustego / Korona,al. Poprzeczna / stacja kolejowa,27
Krzywoustego / Korona,pl. Orlšt Lwowskich,2
Krzywoustego / Korona,pl. Powstańców Wielkopolskich,3
Krzywoustego / Korona,rubowa / Strzegomska,2
Krzywoustego / Korona,Żeromskiego / Daszyńskiego,37
Krzywoustego / Korona,Żeromskiego / Kluczborska,8
Krzywoustego / Korona,Żmigrodzka / Broniewskiego,17
Krzywoustego / Korona,Żmigrodzka / Marino,3
Księgarska / Dekarska / Zduńska,Grabiszyńska / Aleja Hallera,1
Księgarska / Dekarska / Zduńska,Kamieńskiego,2
Księgarska / Dekarska / Zduńska,Krzywoustego - Rynek Psie Pole,1
Księgarska / Dekarska / Zduńska,Księgarska / Dekarska / Zduńska,32
Księgarska / Dekarska / Zduńska,Obornicka / Bałtycka,1
Księgarska / Dekarska / Zduńska,Paprotna / Obornicka zajezdnia MPK,1
Księgarska / Dekarska / Zduńska,Pereca / Grabiszyńska,1
Księgarska / Dekarska / Zduńska,Piaskowa / w. Ducha,1
Księgarska / Dekarska / Zduńska,Pilczycka (Stadion Miejski),1
Księgarska / Dekarska / Zduńska,Plac Dominikański (Galeria Dominikańska),2
Księgarska / Dekarska / Zduńska,Rondo Reagana,1
Księgarska / Dekarska / Zduńska,Waniliowa / Cynamonowa,47
Księgarska / Dekarska / Zduńska,Żmigrodzka / Marino,26
Kurkowa / Dubois,Aleja Kromera,3
Kurkowa / Dubois,Angel,1
Kurkowa / Dubois,Bałtycka / Żmigrodzka,4
Kurkowa / Dubois,Berenta / Kasprowicza,2
Kurkowa / Dubois,Bezpieczna / Obornicka,1
Kurkowa / Dubois,Borowska (Uniw. Szpital Kliniczny),1
Kurkowa / Dubois,Bystrzycka / Idzikowskiego,1
Kurkowa / Dubois,Drobnera / Dubois,54
Kurkowa / Dubois,Drobnera / Plac Bema,56
Kurkowa / Dubois,Drzewieckiego / Dedala,2
Kurkowa / Dubois,Dworzec Główny,30
Kurkowa / Dubois,Dworzec Główny południe,8
Kurkowa / Dubois,Dyrekcyjna / Borowska (Wroclavia),3
Kurkowa / Dubois,Fosa Miejska ,21
Kurkowa / Dubois,Gliniana / Gajowa,1
Kurkowa / Dubois,Grabiszyńska / Magazynierska (Corte Verona),4
Kurkowa / Dubois,Grabiszyńska / Stalowa,11
Kurkowa / Dubois,Grota-Roweckiego / Parafialna,1
Kurkowa / Dubois,Hubska / Prudnicka,3
Kurkowa / Dubois,Jagiełły / Dmowskiego,54
Kurkowa / Dubois,Janiszewskiego (PWr),2
Kurkowa / Dubois,Jednoci Narodowej / Wyszyńskiego,8
Kurkowa / Dubois,Joliot-Curie (Uwr),9
Kurkowa / Dubois,Kamieńskiego / Jutrosińska,4
Kurkowa / Dubois,Kasprowicza / Syrokomli,1
Kurkowa / Dubois,Kazimierza Wielkiego (Helios),38
Kurkowa / Dubois,Klecińska (Wrocław Grabiszyn),1
Kurkowa / Dubois,Klecińska / Duńska,2
Kurkowa / Dubois,Komandorska / Kamienna,2
Kurkowa / Dubois,Komandorska / Sanocka,2
Kurkowa / Dubois,Koszarowa / UWr,3
Kurkowa / Dubois,Kozanowska / Pilczycka,1
Kurkowa / Dubois,Kołłštaja / Podwale,12
Kurkowa / Dubois,Kociuszki / Komuny Paryskiej / Zgodna,4
Kurkowa / Dubois,Kociuszki / Pułaskiego,4
Kurkowa / Dubois,Krakowska / Leroy Merlin,2
Kurkowa / Dubois,Kraszewskiego / Trzebnicka,10
Kurkowa / Dubois,Krzywoustego / Korona,1
Kurkowa / Dubois,Kurkowa / Dubois,258
Kurkowa / Dubois,Legnicka (Park Magnolia),19
Kurkowa / Dubois,Legnicka / Młodych Techników,18
Kurkowa / Dubois,Legnicka / Wejherowska,8
Kurkowa / Dubois,Legnicka / Zachodnia ,36
Kurkowa / Dubois,Lotnicza / Bajana,4
Kurkowa / Dubois,Lotnicza / Na Ostatnim Groszu,1
Kurkowa / Dubois,Malicka / Stodolna,1
Kurkowa / Dubois,Mršgowska / Rolna,2
Kurkowa / Dubois,Młodych Techników,41
Kurkowa / Dubois,Na Grobli (PWr - Geocentrum),5
Kurkowa / Dubois,Na Ostatnim Groszu,1
Kurkowa / Dubois,Norwida / Wyspiańskiego (PWr),3
Kurkowa / Dubois,Nowowiejska / Górnickiego,12
Kurkowa / Dubois,Nowowiejska / Jednoci Narodowej,13
Kurkowa / Dubois,Nowowiejska / Wyszyńskiego,6
Kurkowa / Dubois,Nyska / Jesionowa,7
Kurkowa / Dubois,Obornicka / Bałtycka,10
Kurkowa / Dubois,Olszewskiego / Spółdzielcza,2
Kurkowa / Dubois,Osobowicka - pętla tramwajowa,1
Kurkowa / Dubois,Paprotna / Obornicka zajezdnia MPK,1
Kurkowa / Dubois,Pereca / Grabiszyńska,4
Kurkowa / Dubois,Piaskowa / w. Ducha,36
Kurkowa / Dubois,Pilczycka (Stadion Miejski),2
Kurkowa / Dubois,Pilczycka / Koszykarska,2
Kurkowa / Dubois,Piłsudskiego 13 od Jump Hall,2
Kurkowa / Dubois,Plac Dominikański (Galeria Dominikańska),39
Kurkowa / Dubois,Plac Grunwaldzki (DS Ołówek),4
Kurkowa / Dubois,Plac Grunwaldzki / Polaka,10
Kurkowa / Dubois,Plac Jana Pawła II (Akademia Muzyczna),77
Kurkowa / Dubois,Plac Kociuszki (Renoma),7
Kurkowa / Dubois,Plac Legionów,6
Kurkowa / Dubois,Plac Powstańców Warszawy (Muzeum Narodowe),4
Kurkowa / Dubois,Plac Powstańców lšskich,4
Kurkowa / Dubois,Plac Staszica,24
Kurkowa / Dubois,Plac Strzegomski / Poznańska,16
Kurkowa / Dubois,Plac Uniwersytecki (UWr),69
Kurkowa / Dubois,Plac więtego Macieja / Trzebnicka,18
Kurkowa / Dubois,Poniatowskiego / Olenicka,22
Kurkowa / Dubois,Popowicka,8
Kurkowa / Dubois,Popowicka / Niedwiedzia,24
Kurkowa / Dubois,Powstańcow lšskich / Aleja Hallera,1
Kurkowa / Dubois,Powstańców lšskich (Arkady Wrocławskie),11
Kurkowa / Dubois,Promenady Wrocławskie,11
Kurkowa / Dubois,Przyjani,1
Kurkowa / Dubois,Przyjani / Karkonoska,1
Kurkowa / Dubois,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),1
Kurkowa / Dubois,Reymonta / Kleczkowska,16
Kurkowa / Dubois,Robotnicza / Fabryczna,4
Kurkowa / Dubois,Rondo Reagana,27
Kurkowa / Dubois,Rynek,63
Kurkowa / Dubois,Sienkiewicza / Piastowska,18
Kurkowa / Dubois,Sienkiewicza / Wyszyńskiego,23
Kurkowa / Dubois,Skarbowców / Wietrzna,1
Kurkowa / Dubois,Stacyjna (Dworzec Mikołajów),5
Kurkowa / Dubois,Stadion Olimpijski,1
Kurkowa / Dubois,Strzegomska / Estońska,2
Kurkowa / Dubois,Szczęliwa (Sky Tower),8
Kurkowa / Dubois,Szewska / Kazimierza Wielkiego ,65
Kurkowa / Dubois,Traugutta / Kociuszki,4
Kurkowa / Dubois,Traugutta / Pułaskiego,6
Kurkowa / Dubois,Trymanda / Mińska,2
Kurkowa / Dubois,Waniliowa / Cynamonowa,1
Kurkowa / Dubois,Wita Stwosza / Szewska,42
Kurkowa / Dubois,Wojanowska / Arbuzowa,1
Kurkowa / Dubois,Wróblewskiego (Teki),1
Kurkowa / Dubois,Wróblewskiego (ZOO),5
Kurkowa / Dubois,Wyszyńskiego / Szczytnicka,26
Kurkowa / Dubois,Zachodnia / Poznańska,27
Kurkowa / Dubois,Zaporoska / Gajowicka,2
Kurkowa / Dubois,Zaporoska / Grabiszyńska,11
Kurkowa / Dubois,Zaporoska / Wielka / Krucza,1
Kurkowa / Dubois,al. Armii Krajowej / Borowska,3
Kurkowa / Dubois,al. Armii Krajowej / Tarnogajska,1
Kurkowa / Dubois,al. Kochanowskiego / Kopernika,3
Kurkowa / Dubois,al. Kochanowskiego / niadeckich ,1
Kurkowa / Dubois,pl. Orlšt Lwowskich,24
Kurkowa / Dubois,pl. Powstańców Wielkopolskich,10
Kurkowa / Dubois,lężna / Kamienna (Uniw. Ekonomiczny),1
Kurkowa / Dubois,rubowa / Strzegomska,47
Kurkowa / Dubois,widnicka / Piłsudskiego (Hotel Scandic),11
Kurkowa / Dubois,wieradowska / Krynicka,1
Kurkowa / Dubois,Żelazna / Pereca,1
Kurkowa / Dubois,Żeromskiego / Daszyńskiego,4
Kurkowa / Dubois,Żeromskiego / Kluczborska,5
Kurkowa / Dubois,Żmigrodzka / Broniewskiego,4
Kurkowa / Dubois,Żmigrodzka / Marino,1
Kwidzyńska pętla,3M,2
Kwidzyńska pętla,Aleja Kromera,6
Kwidzyńska pętla,Bałtycka / Żmigrodzka,1
Kwidzyńska pętla,Jednoci Narodowej / Wyszyńskiego,1
Kwidzyńska pętla,Kowalska/Lechitów,1
Kwidzyńska pętla,Kołłštaja / Podwale,1
Kwidzyńska pętla,Kwidzyńska pętla,3
Kwidzyńska pętla,Olszewskiego pętla tramwajowa,1
Kwidzyńska pętla,Poniatowskiego / Olenicka,1
Kwidzyńska pętla,Żeromskiego / Daszyńskiego,1
Legnicka (Park Magnolia),Aleja Hallera / Mielecka,5
Legnicka (Park Magnolia),Aleja Kromera,5
Legnicka (Park Magnolia),Bacciarellego / pętla autobusowa,5
Legnicka (Park Magnolia),Bardzka / Piękna,1
Legnicka (Park Magnolia),Bezpieczna / Obornicka,10
Legnicka (Park Magnolia),Borowska (Uniw. Szpital Kliniczny),2
Legnicka (Park Magnolia),Buforowa - Vivaldiego,1
Legnicka (Park Magnolia),Bystrzycka / Idzikowskiego,26
Legnicka (Park Magnolia),Czekoladowa / Wałbrzyska,6
Legnicka (Park Magnolia),Drobnera / Dubois,21
Legnicka (Park Magnolia),Drobnera / Plac Bema,16
Legnicka (Park Magnolia),Drzewieckiego / Dedala,87
Legnicka (Park Magnolia),Dworzec Główny,22
Legnicka (Park Magnolia),Dworzec Główny południe,17
Legnicka (Park Magnolia),Dyrekcyjna / Borowska (Wroclavia),4
Legnicka (Park Magnolia),Fabryczna / Wagonowa,209
Legnicka (Park Magnolia),Fosa Miejska ,43
Legnicka (Park Magnolia),Gliniana / Gajowa,2
Legnicka (Park Magnolia),Grabiszyńska / Aleja Hallera,18
Legnicka (Park Magnolia),Grabiszyńska / Magazynierska (Corte Verona),10
Legnicka (Park Magnolia),Grabiszyńska / Stalowa,10
Legnicka (Park Magnolia),Graniczna / Strzegomska,24
Legnicka (Park Magnolia),Grochowa / Jemiołowa,2
Legnicka (Park Magnolia),Grota-Roweckiego/Iwaszkiewicza,1
Legnicka (Park Magnolia),Hallera / Odkrywców,3
Legnicka (Park Magnolia),Hermanowska / Kołobrzeska,16
Legnicka (Park Magnolia),Hubska / Prudnicka,18
Legnicka (Park Magnolia),Jagiełły / Dmowskiego,37
Legnicka (Park Magnolia),Jagodzińska / Buforowa,3
Legnicka (Park Magnolia),Jednoci Narodowej / Wyszyńskiego,5
Legnicka (Park Magnolia),Joliot-Curie (Uwr),1
Legnicka (Park Magnolia),Kamienna / Borowska (Aquapark),4
Legnicka (Park Magnolia),Kamienna / Tomaszowska,3
Legnicka (Park Magnolia),Kamieńskiego / Jutrosińska,1
Legnicka (Park Magnolia),Karwińska / Opolska,3
Legnicka (Park Magnolia),Kazimierza Wielkiego (Helios),117
Legnicka (Park Magnolia),Klecińska (Wrocław Grabiszyn),1
Legnicka (Park Magnolia),Klecińska / Duńska,38
Legnicka (Park Magnolia),Komandorska / Kamienna,3
Legnicka (Park Magnolia),Komandorska / Sanocka,4
Legnicka (Park Magnolia),Kosmonautów / Fieldorfa szpital wojewódzki,2
Legnicka (Park Magnolia),Kosmonautów / Glinianki / WUWA2,14
Legnicka (Park Magnolia),Kozanowska / Pilczycka,60
Legnicka (Park Magnolia),Kozanowska/Pałucka,1
Legnicka (Park Magnolia),Kołłštaja / Podwale,15
Legnicka (Park Magnolia),Kociuszki / Komuny Paryskiej / Zgodna,8
Legnicka (Park Magnolia),Kociuszki / Pułaskiego,5
Legnicka (Park Magnolia),Krakowska / Leroy Merlin,1
Legnicka (Park Magnolia),Kraszewskiego / Trzebnicka,3
Legnicka (Park Magnolia),Krucza / Mielecka / Stalowa,8
Legnicka (Park Magnolia),Krzycka / Aleja Karkonoska (Park Południowy),2
