source,target,weight
Aleja Kromera,Miłoszycka / Swojczycka,5
Aleja Kromera,Na Grobli (PWr - Geocentrum),1
Aleja Kromera,Norwida / Wyspiańskiego (PWr),10
Aleja Kromera,Nowowiejska / Górnickiego,113
Aleja Kromera,Nowowiejska / Jednoci Narodowej,47
Aleja Kromera,Nowowiejska / Wyszyńskiego,83
Aleja Kromera,Obornicka / Bałtycka,17
Aleja Kromera,Okulickiego,4
Aleja Kromera,Olszewskiego / Spółdzielcza,1
Aleja Kromera,Opolska / Siemianowicka,1
Aleja Kromera,Opolska / pętla tramwajowa,1
Aleja Kromera,Paprotna / Obornicka zajezdnia MPK,11
Aleja Kromera,Partyzantów / Okrzei,6
Aleja Kromera,Piaskowa / w. Ducha,37
Aleja Kromera,Pilczycka / Koszykarska,2
Aleja Kromera,Plac Dominikański (Galeria Dominikańska),53
Aleja Kromera,Plac Grunwaldzki (DS Ołówek),39
Aleja Kromera,Plac Grunwaldzki / Polaka,21
Aleja Kromera,Plac Jana Pawła II (Akademia Muzyczna),4
Aleja Kromera,Plac Kociuszki (Renoma),6
Aleja Kromera,Plac Legionów,14
Aleja Kromera,Plac Powstańców Warszawy (Muzeum Narodowe),32
Aleja Kromera,Plac Powstańców lšskich,1
Aleja Kromera,Plac Staszica,18
Aleja Kromera,Plac Uniwersytecki (UWr),14
Aleja Kromera,Plac więtego Macieja / Trzebnicka,43
Aleja Kromera,Poleska / Litewska,7
Aleja Kromera,Poniatowskiego / Olenicka,45
Aleja Kromera,Popowicka,2
Aleja Kromera,Popowicka / Niedwiedzia,2
Aleja Kromera,Powstańcow lšskich / Aleja Hallera,3
Aleja Kromera,Powstańców lšskich (Arkady Wrocławskie),1
Aleja Kromera,Promenady Wrocławskie,58
Aleja Kromera,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),2
Aleja Kromera,Rakowiecka,1
Aleja Kromera,Reymonta / Kleczkowska,25
Aleja Kromera,Robotnicza / Fabryczna,2
Aleja Kromera,Rogowska / Zemska,2
Aleja Kromera,Rondo Reagana,75
Aleja Kromera,Rynek,15
Aleja Kromera,Sienkiewicza / Piastowska,43
Aleja Kromera,Sienkiewicza / Wyszyńskiego,59
Aleja Kromera,Skarbowców / Wietrzna,1
Aleja Kromera,Sołtysowicka / Redycka,155
Aleja Kromera,Stacyjna (Dworzec Mikołajów),4
Aleja Kromera,Stadion Olimpijski,8
Aleja Kromera,Strachocińska / Wieniacza,3
Aleja Kromera,Szczęliwa (Sky Tower),2
Aleja Kromera,Szewska / Kazimierza Wielkiego ,7
Aleja Kromera,Tarnogajska / Klimasa,1
Aleja Kromera,Traugutta / Kociuszki,8
Aleja Kromera,Traugutta / Pułaskiego,19
Aleja Kromera,Waniliowa / Cynamonowa,1
Aleja Kromera,Wilanowska,7
Aleja Kromera,Wita Stwosza / Szewska,30
Aleja Kromera,Wróblewskiego (Teki),7
Aleja Kromera,Wróblewskiego (ZOO),10
Aleja Kromera,Wyszyńskiego / Szczytnicka,74
Aleja Kromera,Zachodnia / Poznańska,1
Aleja Kromera,Zaporoska / Grabiszyńska,3
Aleja Kromera,Zatorska / Królewska - pętla MPK,4
Aleja Kromera,al. Armii Krajowej / Bardzka,2
Aleja Kromera,al. Brücknera / Kwidzyńska,196
Aleja Kromera,al. Jana III Sobieskiego / stacja kolejowa,7
Aleja Kromera,al. Kochanowskiego / Kopernika,55
Aleja Kromera,al. Kochanowskiego / niadeckich ,29
Aleja Kromera,al. Poprzeczna / stacja kolejowa,42
