id,lat,lng,name
53,51.116822,17.051845,Sienkiewicza / Wyszyńskiego
54,51.110415,17.055591,Plac Grunwaldzki / Polaka
55,51.10411,17.084711,Wróblewskiego (Teki)
56,51.094653,17.026775,Komandorska / Sanocka
57,51.089842,17.028225,lężna / Kamienna (Uniw. Ekonomiczny)
58,51.084509999999995,16.97223,Oporów (pętla tramwajowa)
59,51.097209,17.013967,Zaporoska / Gajowicka
60,51.097147,17.056251,Traugutta / Kociuszki
61,51.119310999999996,17.056784,Nowowiejska / Górnickiego
62,51.113912,17.067207,Plac Grunwaldzki (DS Ołówek)
63,51.102117,17.013683,Zaporoska / Grabiszyńska
64,51.099354,17.000697,Grabiszyńska / Stalowa
65,51.093426,17.002893,Krucza / Mielecka / Stalowa
66,51.089315,17.001501,Aleja Hallera / Mielecka
67,51.095597,17.008045000000003,"Grochowa / Jemiołowa"
68,51.099713,17.027905,Powstańców lšskich (Arkady Wrocławskie)
69,51.113141,17.012175,Legnicka / Młodych Techników
70,51.098027,17.006977,Żelazna / Pereca
71,51.107471000000004,17.033335,Szewska / Kazimierza Wielkiego 
72,51.122636,16.975707999999997,Na Ostatnim Groszu
73,51.096659,16.988566,Grabiszyńska / Magazynierska (Corte Verona)
74,51.117155,17.000367999999998,Legnicka / Zachodnia 
75,51.112770000000005,16.994446,Robotnicza / Fabryczna
76,51.104163,17.031115,Fosa Miejska 
77,51.108288,17.064884,Łukasiewicza / Smoluchowskiego (PWr)
78,51.110341999999996,17.02601,Kazimierza Wielkiego (Helios)
79,51.117557,17.040967000000002,Drobnera / Plac Bema
80,51.147339,17.114520000000002,Krzywoustego - Rynek Psie Pole
81,51.136990000000004,16.966199,Pilczycka / Kozanowska
82,51.132259000000005,17.065453,Aleja Kromera
83,51.145074,16.871502,Lenica - pętla tramwajowa
84,51.074992,17.007057999999997,Krzycka / Aleja Karkonoska (Park Południowy)
85,51.063834,17.083366,Mocickiego (stacja kolejowa)
86,51.136111,17.036262,Żmigrodzka / Broniewskiego
87,51.059458,17.006542,Zwycięska / Ołtaszyńska
88,51.111874,16.960692,Strzegomska / Estońska
89,51.07692,17.041439,wieradowska (Ferio Gaj )
90,51.065777098421,16.988575458527,Wałbrzyska - pętla tramwajowa
91,51.051546,17.059094,Buforowa - Vivaldiego
92,51.143633,16.950712,Pilczycka (Stadion Miejski)
93,51.085018,17.049193,Bardzka / Piękna
94,51.100211,16.951601999999998,Tyrmanda / Trawowa
95,51.160332109261,17.133682966231998,Zatorska / Królewska - pętla MPK
96,51.110299,17.117854,Marca Polo (Olimpia Port)
97,51.137856,16.994273,Osobowicka - pętla tramwajowa
98,51.17592,16.998482,Waniliowa / Cynamonowa
99,51.123236999999996,16.924321,Żernicka
100,51.12887567,17.04499841,Promenady Wrocławskie
101,51.052723,16.968801000000003,Centrum Handlowe Auchan Bielany
102,51.048390999999995,16.961699,Aleja Bielany
103,51.136786,17.030368,Obornicka / Bałtycka
104,51.138329999999996,17.06063,Berenta / Kasprowicza
105,51.12843,17.0363,Kraszewskiego / Trzebnicka
106,51.06277,17.0321,Grota-Roweckiego / Parafialna
107,51.077147,17.046785,wieradowska / Krynicka
108,51.14035,17.08494,Krzywoustego / Korona
