source,target,weight,lat_source,lng_source,lat_target,lng_target
82,216,3,51.13225900000001,17.065453,51.1277,17.11456
82,66,2,51.13225900000001,17.065453,51.089315,17.001501
82,82,653,51.13225900000001,17.065453,51.13225900000001,17.065453
82,139,5,51.13225900000001,17.065453,51.105578,17.111316
82,179,6,51.13225900000001,17.065453,51.10224,17.11645
82,141,19,51.13225900000001,17.065453,51.13959000000001,17.03216
82,104,87,51.13225900000001,17.065453,51.13833,17.06063
82,142,22,51.13225900000001,17.065453,51.14156,17.02587
82,46,29,51.13225900000001,17.065453,51.117032,17.033499
82,79,82,51.13225900000001,17.065453,51.117557,17.040967000000002
82,3,11,51.13225900000001,17.065453,51.09975,17.036228
82,1,6,51.13225900000001,17.065453,51.097108064432,17.036109566689
82,7,1,51.13225900000001,17.065453,51.095322,17.033388000000002
82,36,1,51.13225900000001,17.065453,51.112440604346,16.988554000854002
82,76,10,51.13225900000001,17.065453,51.104163,17.031115
82,161,1,51.13225900000001,17.065453,51.09152,17.040329999999994
82,186,41,51.13225900000001,17.065453,51.141797,17.123711
82,11,1,51.13225900000001,17.065453,51.094413,16.980911
82,73,1,51.13225900000001,17.065453,51.096659,16.988566
82,193,3,51.13225900000001,17.065453,51.089572,17.045320999999998
82,21,16,51.13225900000001,17.065453,51.116612,17.023873000000002
82,27,5,51.13225900000001,17.065453,51.109332,17.060510999999998
82,158,127,51.13225900000001,17.065453,51.12814,17.05477
82,51,6,51.13225900000001,17.065453,51.110662,17.052712
82,15,4,51.13225900000001,17.065453,51.088908,17.034051
82,205,1,51.13225900000001,17.065453,51.15472000000001,17.04376
82,135,37,51.13225900000001,17.065453,51.147082,17.042320999999998
82,187,86,51.13225900000001,17.065453,51.137258,17.048545999999998
82,78,27,51.13225900000001,17.065453,51.110342,17.02601
82,185,14,51.13225900000001,17.065453,51.14574,17.134929999999994
82,200,8,51.13225900000001,17.065453,51.09009,17.0235
82,56,1,51.13225900000001,17.065453,51.094653,17.026775
82,147,293,51.13225900000001,17.065453,51.14128,17.066129999999998
82,195,3,51.13225900000001,17.065453,51.103854,17.03678
82,41,9,51.13225900000001,17.065453,51.098959,17.051519
82,39,10,51.13225900000001,17.065453,51.1004,17.045082999999998
82,146,4,51.13225900000001,17.065453,51.09053,17.06373
82,105,13,51.13225900000001,17.065453,51.12843,17.0363
82,84,1,51.13225900000001,17.065453,51.074992,17.007057999999994
82,80,106,51.13225900000001,17.065453,51.147339,17.114520000000002
82,108,318,51.13225900000001,17.065453,51.14035,17.08494
82,20,10,51.13225900000001,17.065453,51.118237,17.028792000000006
82,207,4,51.13225900000001,17.065453,51.12776,17.10254
82,19,1,51.13225900000001,17.065453,51.121059,16.993088
82,5,7,51.13225900000001,17.065453,51.125276,16.984447
82,74,1,51.13225900000001,17.065453,51.117155,17.000367999999998
82,167,1,51.13225900000001,17.065453,51.13004,16.96605
82,96,27,51.13225900000001,17.065453,51.110299,17.117854
82,159,28,51.13225900000001,17.065453,51.11397,17.10395
82,181,5,51.13225900000001,17.065453,51.11464,17.13042
82,14,1,51.13225900000001,17.065453,51.105207,17.053675
82,28,10,51.13225900000001,17.065453,51.107235,17.060715
82,61,113,51.13225900000001,17.065453,51.119311,17.056784
82,4,47,51.13225900000001,17.065453,51.124879,17.045844
82,48,83,51.13225900000001,17.065453,51.122424,17.052013
82,103,17,51.13225900000001,17.065453,51.136786,17.030368
82,177,4,51.13225900000001,17.065453,51.16077282500901,17.122734189034
82,137,1,51.13225900000001,17.065453,51.10209,17.101679999999998
82,196,1,51.13225900000001,17.065453,51.071275,17.090906
82,114,1,51.13225900000001,17.065453,51.07748,17.08405
82,188,11,51.13225900000001,17.065453,51.148528000000006,17.020477
82,192,6,51.13225900000001,17.065453,51.109457,17.097924
82,197,37,51.13225900000001,17.065453,51.11289,17.03971
82,133,2,51.13225900000001,17.065453,51.140713,16.958199
82,0,53,51.13225900000001,17.065453,51.108004,17.039528
82,62,39,51.13225900000001,17.065453,51.113912,17.067207
82,54,21,51.13225900000001,17.065453,51.110415,17.055591
82,34,4,51.13225900000001,17.065453,51.111489,17.020981
82,33,6,51.13225900000001,17.065453,51.103354,17.030704
82,37,14,51.13225900000001,17.065453,51.104413,17.022536
82,40,32,51.13225900000001,17.065453,51.110001,17.047735999999997
