"id","betweenness","closeness_in","closeness_out","clust_coeff","degree","pagerank","strength_in","strength_out"
151,221.024353235944,0.00199203187250996,0.00201612903225806,0.213351899125861,279,0.00733973076055371,3672,3698
144,159.50296826775,0.00191204588910134,0.002,0.235883424408015,244,0.00423087526136723,2035,1986
89,138.348845938621,0.00200400801603206,0.00189035916824197,0.341463414634146,83,0.00421688556310016,526,412
164,280.600560935081,0.00200400801603206,0.00192678227360308,0.239695068474668,244,0.00486929026358474,2342,2298
140,11.737565345022,0.00169779286926995,0.00176056338028169,0.366995073891626,29,0.000854294159465733,21,32
85,488.169370231887,0.00209205020920502,0.00212314225053079,0.252390611416981,204,0.00308039669627781,1005,1054
31,451.783879017764,0.00206185567010309,0.0020746887966805,0.275145558463757,194,0.00313294315828263,1093,1076
3,268.084293273448,0.00192307692307692,0.00201612903225806,0.20726392251816,295,0.0109087799176004,5954,6057
187,192.689806298793,0.00198412698412698,0.00193423597678917,0.210960569741185,304,0.0094678631006909,5212,4897
124,129.230831254189,0.001953125,0.00186915887850467,0.408749145591251,77,0.00100904689873257,101,108
83,43.5855519640562,0.00177935943060498,0.00173310225303293,0.334343434343434,45,0.00557208329051006,875,845
4,144.932342804474,0.00199203187250996,0.00191938579654511,0.231646586345382,250,0.00609993360404922,2630,2649
60,164.791979083734,0.00196850393700787,0.00201207243460765,0.297274220032841,175,0.00387406153441433,1401,1299
59,184.45163222647,0.00204498977505112,0.00196078431372549,0.276481966093981,188,0.00346537070929097,1414,1387
76,148.459373330568,0.00193050193050193,0.00198412698412698,0.288416501531256,183,0.00336029453135959,1321,1369
80,230.824845070398,0.0019723865877712,0.00207900207900208,0.301823185414517,171,0.00200132335899508,672,673
123,22.6007783597083,0.00172413793103448,0.00173611111111111,0.370499419279907,42,0.000831175200424691,50,48
29,264.601144631477,0.00201207243460765,0.00202429149797571,0.24644966695991,219,0.00339725156130596,1364,1387
195,284.570956520926,0.00201612903225806,0.00201207243460765,0.262600761803526,213,0.00327940823208955,1280,1325
13,287.133773400356,0.00204918032786885,0.00203665987780041,0.263305322128852,154,0.00362204965436647,979,1023
128,3.50122744908467,0.00161550888529887,0.0015600624024961,0.278947368421053,20,0.00117228527581168,21,20
200,254.941424751143,0.00202020202020202,0.00191570881226054,0.184976258309592,325,0.0154703685262136,7963,8380
113,156.331273639366,0.00193798449612403,0.00196463654223969,0.175309046254605,350,0.0130911940334131,7056,7059
43,98.890733078419,0.00187265917602996,0.00191570881226054,0.355421686746988,84,0.0025039108305381,413,319
170,266.128608414524,0.002,0.00202429149797571,0.229547933583808,223,0.0043154270485308,1999,1989
171,274.813082810089,0.00204918032786885,0.00204081632653061,0.24031527754486,268,0.00632878840072619,3243,3235
75,218.433661074489,0.00205338809034908,0.00202020202020202,0.264047510278666,199,0.00480550427532548,2069,1997
16,256.987184265719,0.00210526315789474,0.00201207243460765,0.2754458656098,183,0.00318536608746373,1079,1094
56,356.844465056934,0.001953125,0.002,0.28238937169114,142,0.00364382830561247,852,701
103,33.2038174614695,0.00169779286926995,0.00160513643659711,0.270161290322581,32,0.00188736806713872,155,187
94,108.1946021114,0.00185873605947955,0.00185528756957328,0.318198198198198,75,0.00392603675055989,503,425
160,333.711468534481,0.00203252032520325,0.00200400801603206,0.242719080579862,248,0.00484614726325449,2148,2101
118,259.012904070173,0.0020746887966805,0.00192678227360308,0.306868987942013,122,0.00135697244077222,252,264
